Name,Operator,Type,Status,Completed,Year,State,Region,Cost,Miles,Capacity,Diameter,Pipeline,Authority,Docket
Pony Express Pipeline Conversion Project,KM Interstate Pipeline Co,Conversion,Completed,5/2/14,2014,"WY,CO,NE,KS",Central,, (500), (255),,Interstate,FERC,CP12-495
Hancock compressor project,Millennium Pipeline,Expansion,Completed,3/31/14,2014,NY,Northeast, 49 ,, 108 ,,Interstate,FERC,CP13-14
Giles County Project,Columbia Gas Transmission,Expansion,Completed,9/24/14,2014,VA,Northeast,, 13 , 46 ,8,Interstate,FERC,CP13-125
Lucerne pipeline,DCP Midstream,New Pipeline,Completed,7/1/14,2014,CO,Central,12,7.6,230,, Interstate ,FERC,CP13-509
Nueces Crossover Pipeline,Energy Transfer Partners,Expansion,Completed,12/15/14,2014,TX,Southwest, 114 , 51 , 800 ,,,na,
Natrium to Market Project,Dominion Transmission,Expansion,Completed,11/7/14,2014,"WV,PA",Northeast,41.7,0,185,, Interstate ,FERC,CP13-13
Utica Backhaul Transportation,Tennessee Gas Pipeline,Reversal,Completed,4/1/14,2014,"PA,TN","Northeast,Southeast", 121 , -   , 500 ,,Interstate,FERC,
Lebanon lateral project,ANR Pipeline,reversal,Completed,,2014,OH,Northeast,,, 350 ,,Interstate,na,na
West Side Expansion Project (Smithfield III),Columbia Gas Transmission,Reversal,Completed,10/27/14,2014,"PA,WV,KY","Northeast,Southeast",81,,444,, Interstate ,FERC,CP13-477
Kingsport Expansion Project,East Tennessee Natural Gas,Lateral,Completed,,2014,TN,Southeast,113.5,9.8,61, 16 , Interstate ,FERC,CP13-534
White Oak Lateral Project,Eastern Shore Natural Gas,Lateral,Completed,9/30/14,2014,DE,Northeast, 11 , 6 , 55 ,16,Interstate,FERC,CP13-498
West Leg 2014 Expansion,Northern Natural Gas,Expansion,Completed,9/12/14,2014,NE,central, 70 , 7 , 88 ,20,Interstate,FERC,CP13-528
JL 47 Loop Project,Questar Pipeline,Expansion,Completed,9/5/13,2013,UT,Central,14.8,14.7,62, 16 , Interstate ,FERC,CP13-19
Mid-Atlantic Connector Expansion,Transcontinental Gas Pipeline,Expansion,Completed,2/22/13,2013,VA,Northeast, 55 , 1 , 142 ,42,Interstate,FERC,CP11-31
Tioga Area Expansion Project,Dominion Transmission,Expansion,Completed,10/3/13,2013,PA,Northeast, 67 , 15 , 270 ,24,Interstate,FERC,CP12-19
NJ-NY Project,Texas Eastern Transmission,Expansion,Completed,11/6/13,2013,"NJ,NY",Northeast," 1,200 ", 21 , 800 ,"30,42",Interstate,FERC,CP11-56
Norte Crossing Project,El Paso Natural Gas,New Pipeline,Completed,6/7/13,2013,"TX,MX","Southwest,Mexico",,0.28,366, 36 , Interstate ,FERC,CP12-96
MPP Project,Tennessee Gas Pipeline Co,Expansion,Completed,9/20/13,2013,PA,Northeast,89,7.9,240, 30 , Interstate ,FERC,CP12-28
Transco Mid-South Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Completed,6/3/13,2013,AL,Southeast, 127 , 23 , 130 ,,Interstate,FERC,CP11-18
Sabinsville to Morrisville Project,Dominion Transmission,Expansion,Completed,11/1/13,2013,PA,Northeast, 17 , 4 , 92 ,24,Interstate,FERC,CP12-20/CP12-19
Greenspring Expansion Project,Eastern Shore Natural Gas Co,Expansion,Completed,11/1/13,2013,DE,Northeast,16.283,11,15, 16 , Interstate ,FERC,CP12-461
Willcox Lateral 2013 Expansion Project,El Paso Natural Gas,Lateral,Completed,3/27/13,2013,"AZ,MX","Western,Mexico",23.1,0.1,185,, Interstate ,FERC,CP12-6
Eagle Ford Midstream Expansion,NET Midstream LLC,Expansion,Completed,,2013,TX,Southwest,,105,, 24 , Intrastate ,State,na
Tioga Lateral Project,Alliance Pipeline LP,Lateral,Completed,9/1/13,2013,ND,Central,167,80,126.4, 12 , Interstate ,FERC,CP12-50
Minisink Compressor Project,Millennium Pipeline,Expansion,Completed,6/1/13,2013,NY,Northeast,44,0.1,225, 36 , Interstate ,FERC,CP11-515
West Side Expansion Project (Gulf Bi-Direction),Columbia Gulf Transmission,Reversal,Completed,4/1/13,2013,"KY,TN,MS,LA","Southeast,Southwest",,, 540 ,,Interstate,na,na
Tres Palacios Copano Interconnect,Tres Palacios Gas Storage LLC,Lateral,Completed,5/23/13,2013,TX,"Southeast,Southwest",0,19.7,400, 24 , interstate ,FERC,CP12-36
Northeast Supply Link Project,Transcontinental Gas Pipeline,Expansion,Completed,10/28/13,2013,"PA,NJ",Northeast,390,12.5,250," 42,36 ", Interstate ,FERC,CP12-30
Cadeville Storage Headers,Cadeville Gas Storage LLC,Lateral,Completed,4/3/13,2013,LA,Southwest,,9.9,420," 16,24 ", Interstate ,FERC,CP10-16
South Seattle Delivery Lateral Expansion,Puget Sound Energy,Lateral,Completed,9/26/13,2013,WA,Western,,4,75, 16 , Interstate ,FERC,CP12-471
Northeast Upgrade Project,Tennessee Gas Pipeline Co,Expansion,Completed,12/5/13,2013,"PA,NJ",Northeast, 500 , 40 , 636 ,24,Interstate,FERC,CP11-161
,,,,,,,,,,,,,,CP11-161
VEPCO-Warren County Project,Columbia Gas Transmission,Expansion,Completed,10/1/13,2013,VA,Northeast,34.3,2.5,246, 24 , Interstate ,FERC,CP11-490
Driver Residue Pipeline,Atlas Pipeline Mid-Continent WestTex,Lateral,Completed,2/14/13,2013,TX,Southwest,0,10.2,,, Interstate ,FERC,CP12-468
Appalachian Gateway Project,Dominion Transmission,New Pipeline,Completed,9/4/12,2012,"WV,PA",Northeast,635,110,484.26," 30,24,20 ", Interstate ,FERC,CP10-448
Aguirre LNG Pipeline,EcoElectrica,Lateral,Completed,5/2/12,2012,PR,Puerto Rico,50,42,186, 24 , Interstate ,FERC,CP95-35
Blacksville Compressor Station Project,Equitrans,Expansion,Completed,,2012,WV,Northeast,21.7,0,209,, Interstate ,FERC,CP12-13
Rich Eagle Ford Mainline Expansion II,Energy Transfer Partners LP,Expansion,Completed,,2012,TX,Southwest, -   , 70 , 400 ,42,Intrastate,State,na
Inergy Marc I Hub Line Project,"Inergy Midstream, LLC",Expansion,Completed,11/14/12,2012,PA,Northeast,,43,555, 30 , Interstate ,FERC,CP10-480
Northern Access Expansion Project,National Fuel Gas Supply Corp,Expansion,Completed,10/31/12,2012,"PA,NY",Northeast, 80 , -   , 320 ,,Interstate,Ferc,CP11-128
Sunrise Project,Equitrans,New Pipeline,Completed,7/19/12,2012,"WV,PA",Northeast, 272 , 50 , 314 ,"24,20,16",Interstate,FERC,CP11-68
Northeast Expansion Project,Dominion Transmission,Expansion,Completed,10/31/12,2012,PA,Northeast,97.3,,200,, Interstate ,FERC,CP11-39
Philadelphia Lateral Expansion Project,Texas Eastern Transmission,Expansion,Completed,10/18/12,2012,PA,Northeast,,, 27 ,30,Interstate,FERC,CP11-508
Line N 2012 Expansion,National Fuel Gas Supply Corp,Expansion,Completed,10/31/12,2012,PA,Northeast,35.823,4.85,150, 24 , Interstate ,FERC,CP11-512
TETCO TEAM 2012 Expansion,Texas Eastern Transmission,Expansion,Completed,10/31/12,2012,PA,Northeast,197,17.3,200, 36 , Interstate ,FERC,CP11-67
Station 230C Project,Tennessee Gas Pipeline Co,Expansion,Completed,10/16/12,2012,NY,Northeast, 60 ,, 320 ,,Interstate,Ferc,CP11-133
Mountain Pass Lateral,Kern River Gas Transmission,Lateral,Completed,5/15/12,2012,CA,Western, 16 , 9 , 24 ,8,Interstate,FERC,CP11-46
Progress Energy Wayne County,Piedmont Natural Gas,New Pipeline,Completed,6/1/12,2012,NC,Southeast,,38,, 20 , Intrastate ,State,na
Moss Bluff 2011 Storage Header,Spectra Energy,Lateral,Completed,,2012,TX,Southwest,, 3 ,,30,Interstate,FERC,CP08-387
East Cheyenne Storage Header,Merchant Energy Partners LLC,New Pipeline,Completed,3/30/12,2012,CO,Central,, 4 , 500 ,"24,16",Interstate,FERC,CP10-34
Marshfield Reduction Project,ANR Pipeline,Expansion,Completed,11/1/12,2012,WI,Midwest,25.1,,101.1,, Interstate ,FERC,CP11-539
North Seattle Delivery Lateral Expansion,Puget Sound Energy,Lateral,Completed,11/1/12,2012,WA,Western,, 2 , 84 ,20,Interstate,FERC,CP11-520
Mississippi Hub Storage Phase 2,Mississippi Hub LLC,New Pipeline,Completed,8/9/12,2012,MS,Southeast, 75 , 37 , 200 ,"30,24",Interstate,FERC,CP09-110
Ellisburg to Craigs Project,Dominion Transmission,Lateral,Completed,10/30/12,2012,PA,Northeast, 46 , 7 , 250 ,,Interstate,FERC,CP11-41
South System Expansion III Phase 3,Southern Natural Gas Co,Expansion,Completed,6/1/12,2012,"MS,AL,GA",Southeast,122.6,19.3,125, 36 , Interstate ,FERC,CP09-36
Northeast Supply Diversification Project,Tennessee Gas Pipeline Co,Expansion,Completed,10/19/12,2012,"PA,NY",Northeast,100,7,250, 30 , Interstate ,FERC,CP11-30
Transco Mid-South Expansion Phase 1,Transcontinental Gas Pipeline,Expansion,Completed,5/15/12,2012,"AL,GA,SC,NC",Southeast,92.5,22.59,95, 42 , Interstate ,FERC,CP11-18
2011 system expansion,Eastern Shore Natural Gas,Expansion,Completed,,2012,"DE,MD",Northeast, 13 , 22 , 6 ,"10,6",Interstate,FERC,CP11-333
Bayonne Delivery Lateral Project,Transcontinental Gas Pipeline,Lateral,Completed,4/4/12,2012,NJ,Northeast, 17 , 6 ,250,"20,14",Interstate,FERC,CP09-417
Jones Island Landfill Gas Project,Milwaukee Metropolitan Sewerage,New Pipeline,Completed,2/24/12,2012,WI,Midwest, 22 , 14 ,,,Intrastate,State,na
Bluewater Gas Storage Link,Bluewater Gas Storage,Lateral,Completed,,2012,MI,Midwest,, 0 , 300 ,12,Interstate,FERC,CP12-51
Cecil County Expansion,Eastern Shore Natural Gas,Expansion,Completed,,2012,"DE,MD",Northeast, 6 , 5 , 4 ,6,Interstate,FERC,CP11-303
Stateline Pipeline Project,MDU Resources Group,Lateral,Completed,8/1/12,2012,ND,Central,,13,146,, Intrastate ,State,na
Samalayuca Crossing,Kinder Morgan Texas Pipeline,Expansion,Completed,,2012,"TX,MX","Southwest,Mexico",,,237,, Interstate ,FERC,CP12-74
Princeton Lateral Project,Northern Border Pipeline,Expansion,Completed,10/26/11,2011,IL,Midwest,18.4,8.65,120, 16 , Interstate ,FERC,CP10-468
NFGS Line N Projects,National Fuel Gas Supply Corp,Expansion,Completed,10/19/11,2011,PA,Northeast, 56 , 18 , 150 ,20,Interstate,FERC,CP10-457
AIRPORT II COMPRESSION,Gulf South Pipeline,Expansion,Completed,4/30/11,2011,Al,southeast,,, 54 ,,Interstate,FERC,CP10-502
Clarence Compressor,Gulf South Pipeline,Expansion,Completed,11/10/11,2011,LA,Southwest,0,0,105,, Interstate ,FERC,CP10-465
ETC Tiger Pipeline Expansion,Energy Transfer Partners LP,Expansion,Completed,7/19/11,2011,TX,Southwest, 193 , 21 , 400 ,42,Interstate,FERC,CP10-459
Paiute South Tahoe Lateral,Paiute Pipeline,Expansion,Completed,9/19/11,2011,NV,Western, 2 , 1 ,,,Interstate,FERC,CP10-41
Tioga County Extension Project,Empire Pipeline,New Pipeline,completed,11/20/11,2011,"PA,NY",Northeast,46.76,15,350, 24 , Interstate ,FERC,CP10-493
Gulfstream Pipeline Phase 5,Gulfstream Natural Gas System,Lateral,Completed,4/1/11,2011,FL,Southeast,50.8,,35,, Interstate ,FERC,CP10-4
TEMAX/TIME III,Texas Eastern Transmission,Expansion,Completed,8/26/11,2011,PA,Northeast,472,38.6,455," 30,36 ", Interstate ,FERC,CP09-68
Northeastern Tennessee Project,East Tennessee Nat Gas Co,Lateral,Completed,8/31/11,2011,VA,Northeast,135,28,150, 24 , Interstate ,FERC,CP10-89
Hot Spring Lateral Project,Texas Eastern Transmission,Lateral,Completed,6/15/11,2011,"TX,Ar",Southwest,38.124,8.4,112, 16 , Interstate ,FERC,CP10-471
Franklin to Hastings Expansion,Kinder Morgan Interstate Gas Transmissio,Expansion,Completed,4/1/11,2011,NE,Central,, 11 ,,20,Interstate,FERC,CP10-472
Maine Line 133 Loop Expansion,Questar Overthrust Pipeline Co,Expansion,Completed,2/2/11,2011,WY,Central,94,43.3,800, 36 , Interstate ,FERC,CP10-3
Pascagoula Expansion Project,Pascagoula Supply Line,Expansion,Completed,9/22/11,2011,"MS,AL",Southeast,59,15.5,810, 26 , Interstate ,FERC,CP09-456
Mobile Bay South II Expansion Project,Transcontinental Gas Pipeline,Expansion,Completed,5/1/11,2011,AL,Southeast, 36 ,, 380 ,,Interstate,FERC,CP10-21
Acadian Haynesville Extension,Enterprise Products Partners,New Pipeline,Completed,11/1/11,2011,LA,Southwest,1500,270,1800," 42,30,36 ", Intrastate ,State,na
Transco 85 North Expansion Phase 2,Transcontinental Gas Pipeline,Expansion,Completed,4/27/11,2011,"AL,GA,SC,NC",Southeast, 148 , 22 , 219 ,42,Interstate,FERC,CP09-57
Rich Eagle Ford Mainline Expansion I,Energy Transfer Partners LP,Expansion,Completed,10/1/11,2011,TX,Southwest,0,160,400, 30 , Intrastate ,State,na
300 Line Expansion Project,Tennessee Gas Pipeline Co,Expansion,Completed,11/1/11,2011,"PA,NJ",Northeast, 643 , 127 , 350 ,30,Interstate,FERC,CP09-444
North and South Expansion Project,Central New York Oil & Gas,Expansion,Completed,11/1/11,2011,"PA,NY",Northeast,0,0,325,, Interstate ,FERC,CP10-194
Gulf LNG Pipeline,Gulf LNG Pipeline LLC,New Pipeline,Completed,9/22/11,2011,MS,Southeast,10,5.02,1500, 36 , Interstate ,FERC,CP06-12/13/14
Golden Pass Pipeline,Golden Pass Pipeline,Lateral,Completed,3/10/11,2011,"TX,LA",Southwest,,69,2500, 42 , Interstate ,FERC,CP04-400
Eagle Ford Dos Hermanas Pipeline,Energy Transfer Partners LP,New Pipeline,Completed,2/17/11,2011,TX,Southwest, -   , 50 , 400 ,24,Intrastate,State,na
South System Expansion III Phase 2,Southern Natural Gas Co,Expansion,Completed,6/1/11,2011,MS,Southeast,108,19.7,125, 36 , Interstate ,FERC,CP09-36
FGT Phase VIII Expansion,Florida Gas Trans Co,Expansion,Completed,2/14/11,2011,"AL,FL",Southeast,2455,483,820," 42,36,30.24 ", Interstate ,FERC,CP09-17
Bison Pipeline Project,Bison Pipeline LLC,New Pipeline,Completed,1/14/11,2011,"WY,MT,ND",Central, 610 , 302 , 477 ,30,Interstate,FERC,CP09-161
FGT Mobile Bay Lateral Expansion,Florida Gas Trans Co,Lateral,Completed,9/22/11,2011,AL,Southeast,34,8.9,343, 24 , Interstate ,FERC,CP09-455
Apex Expansion Project,Kern River Gas Transmission,Expansion,Completed,10/1/11,2011,"WY,UT,NV","Central,Western", 30 , 28 , 266 ,36,Interstate,FERC,CP10-14
North Fork Pipeline,Anchor Point Energy LLC,New Pipeline,Completed,4/7/11,2011,AK,Alaska,,7.4,48.685,, Intrastate ,State,na
Pine Prairie Chalk Line Loop,Pine Prairie Storage Co,Lateral,Completed,,2011,LA,Southwest,15,5.3,900, 24 , Interstate ,FERC,CP04-379
Eagle Ford Chisholm Pipeline,Energy Transfer Partners LP,New Pipeline,Completed,2/17/11,2011,TX,Southwest,0,83,300, 20 , Intrastate ,State,na
Joint Pipeline Expansion (SESH) Project,Southeast Supply Header LLC,Expansion,Completed,6/1/11,2011,MS,Southeast,69,,360," 42,36 ", Interstate ,FERC,CP09-40
Ruby Pipeline Project,Ruby Pipeline LLC,New Pipeline,completed,7/28/11,2011,"WY,UT,NV,OR","Central,Western",2960,672.5,1500, 42 , Interstate ,FERC,CP09-54
South System Expansion III Phase 1,Southern Natural Gas Co,Expansion,Completed,12/10/10,2010,GA,Southeast, 121 , 41 , 125 ,36,Interstate,FERC,CP09-36
Dominion Rural Valley Project,Dominion Transmission,Expansion,Completed,4/1/10,2010,PA,Northeast,40.6,1.4,57, 10 , Interstate ,FERC,CP09-10
Egan Storage Header Exp,Spectra Energy,Lateral,Completed,9/1/10,2010,LA,Southwest, 25 , 17 , 200 ,24,Interstate,FERC,CP07-88
CEGT Carthage/Perryville (Line CP) Phase IV,Centerpoint Energy Gas Transmission,Expansion,Completed,2/1/10,2010,"TX,LA",Southwest, 68 ,, 274 ,,Interstate,FERC,CP09-29
Prairie Rose Header Pipeline,Pecan Pipeline Co,New Pipeline,Completed,2/1/10,2010,ND,Central,60,75,40, 12 , Intrastate ,State,na
NWPL Sundance Trail Expansion,Northwest Pipeline Co,Expansion,Completed,11/1/10,2010,"CO,UT,WY",Central,59.4,16,150, 30 , Interstate ,FERC,CP09-415
Midcontinent Express Pipeline Expansion,Midcontinent Express Pipeline,Expansion,Completed,5/31/10,2010,"OK,TX,LA","Southwest,Southeast"," 1,340 ",," 1,500 ",,Interstate,FERC,CP09-56
Bi-directional Pipeline Conversion,Midwestern Gas Transmission Co,Expansion,Completed,10/30/10,2010,"IL,IN",Midwest,3.84,,150,, Interstate ,FERC,CP08-436
ANR Wisconsin Project Expansion,ANR Pipeline,Expansion,Completed,10/28/10,2010,WI,Midwest,38.3,8.9,97.9, 30 , Interstate ,FERC,CP08-465
NNG Northern Lights 2010 Zone EF Expansion,Northern Natural Gas Co,Expansion,Completed,11/1/10,2010,MN,Midwest, 43 , 10 , 135 ,16,Interstate,FERC,CP09-11
Overthrust Compression Expansion Project,Questar Overthrust Pipeline Co,Expansion,Completed,1/1/10,2010,WY,Central,39,,300,, Interstate ,FERC,CP09-76
Algonquin East-to-West (EW2) Expansion,Algonquin Gas Transmission,Expansion,completed,11/1/10,2010,CT,Northeast,45,2.6,281.5, 36 , Interstate ,FERC,CP08-420
North Baja Yuma Lateral,North Baja Pipeline LLC,Lateral,Completed,3/13/10,2010,"MX,AZ","Mexico,Western",14.8,3.27,81.25, 12 , Interstate ,FERC,CP08-152
CGT Cobb Expansion Project,NiSource Gas Transmission & Storage,Expansion,Completed,5/17/10,2010,WV,Northeast,16.1,1,27.6, 16 , Interstate ,FERC,CP09-437
ETC Tiger Pipeline Project,Energy Transfer Partners LP,New Pipeline,Completed,12/1/10,2010,"TX,LA",Southwest," 1,200 ", 175 ," 2,000 ",42,Interstate,FERC,CP09-460
Red River Lateral,Regency Energy Partners LP,Expansion,Completed,1/29/10,2010,LA,Southwest, 47 , 13 , 100 ,36,Intrastate,State,na
Dominion Hub III Project,Dominion Transmission,Expansion,Completed,10/26/10,2010,"PA,WV",Northeast, 35 , 9 , 224 ,24,Interstate,FERC,CP09-18
Haynesville/Perryville Expansion,Gulf South Pipeline,Expansion,Completed,10/25/10,2010,"TX,LA,MS","Southwest,Southeast", 161 ,, 556 ,,Interstate,FERC,CP09-420
Monroe Pipeline Project,City of Monroe,New Pipeline,Completed,11/1/10,2010,NC,Southeast, 42 , 43 , 70 ,12,Intrastate,State,na
Gill Ranch Storage Lateral,Gill Ranch Storage LLC,Lateral,Completed,11/1/10,2010,CA,Western, 45 , 27 , 200 ,30,Intrastate,State,na
CIG Raton Basin 2010 Expansion,Colorado Interstate Gas Co,Expansion,Completed,11/18/10,2010,CO,Central, 132 , 118 , 130 ,16,Interstate,FERC,CP09-464
Fayetteville Express Pipeline,Fayetteville Express Pipeline,New Pipeline,Completed,12/3/10,2010,"AR,MS","Southwest,Southeast"," 1,010 ", 185 ," 2,000 ",42,Interstate,FERC,CP09-433
Mainline 2010 System Expansion,Kern River Gas Transmission,Expansion,Completed,4/9/10,2010,"WY,NV","Central,Western",62.1,,145, 36 , Interstate ,FERC,CP08-429
TECO SeaCoast Pipeline Project,SeaCoast Gas Transmission LLC,New Pipeline,Completed,11/15/10,2010,FL,Southeast, 75 , 50 , 100 ,"24,20",Intrastate,State,na
Enterprise Trinity River Supply Lateral,Enterprise Products Partners,Lateral,Completed,7/28/10,2010,TX,Southwest, 55 , 40 ," 1,000 ","36,30",Intrastate,State,na
Dominion Hub I Project,Dominion Transmission,Expansion,Completed,10/29/10,2010,PA,Northeast, 34 , 2 , 200 ,20,Interstate,FERC,CP08-33
Dominion Hub II Project,Dominion Transmission,Expansion,Completed,10/22/10,2010,NY,Northeast,22.5,,20,, Interstate ,FERC,CP09-83
SONAT Elba Express III,Elba Express Pipeline,New Pipeline,Completed,3/1/10,2010,GA,Southeast,200,190,945," 42,36 ", Interstate ,FERC,CP06-470
REX Meeker to Cheyenne Expansion Compressor,Rockies Express Pipeline,Expansion,Completed,9/15/10,2010,"CO,WY",Central,78,,200,, Interstate ,FERC,CP09-58
2010 System Enhancement Project,Wyoming Interstate Gas Co,Expansion,Completed,11/1/10,2010,WY,Central, 71 , 2 , 285 ,20,Interstate,FERC,CP10-13
TGT Fayetteville Lateral Phase 3,Texas Gas Transmission,New Pipeline,Completed,1/23/10,2010,AR,"Southwest,Southeast",162,,333,, Interstate ,FERC,CP08-467
Diamond Mountain Compressor Station Project.,Wyoming Interstate Gas Co,Expansion,Completed,11/10/10,2010,"UT,WY",Central, 49 ,,180,,Interstate,FERC,CP09-449
Transco Elba Express Interconnects -South Carolina,Transcontinental Gas Pipeline,Lateral,Completed,3/1/10,2010,SC,Southeast,,," 1,175 ",,Interstate,FERC,CP09-88
TGT Greenville Lateral Expansion,Texas Gas Transmission,Expansion,Completed,1/3/10,2010,MS,Southeast,162,,232,, Interstate ,FERC,CP08-467
Transco 85 North Expansion Phase I,Transcontinental Gas Pipeline,Expansion,Completed,7/13/10,2010,NC,Southeast, 100 ,, 90 ,,Interstate,FERC,CP09-57
Delta Lateral Project,Transcontinental Gas Pipeline,Lateral,Completed,10/7/10,2010,PA,Northeast,12.5,3.5,208, 16 , Interstate ,FERC,CP09-237
Transco Elba Express Interconnects - Georgia,Transcontinental Gas Pipeline,Lateral,Completed,3/1/10,2010,GA,Southeast,25.3,,1175,, Interstate ,FERC,CP09-88
Transco Mobile Bay South Expansion,Transcontinental Gas Pipeline,Expansion,Completed,5/1/10,2010,AL,Southeast, 37 ,, 254 ,,Interstate,FERC,CP08-476
Eshore Parkesburg Expansion,Eastern Shore Parkesburg Line,Expansion,Completed,10/16/10,2010,PA,Northeast, 19 , 8 , 40 ,16,Interstate,FERC,CP10-76
Haynesville Expansion Project,Regency Energy Partners LP,Expansion,Completed,1/15/10,2010,LA,Southwest," 1,053 ", 121 ," 1,100 ","36,42",Intrastate,State,na
Enbridge Marquez Plant Line,Enterprise Products Partners,Expansion,Completed,9/20/10,2010,TX,Southwest,, 69 ,,"16,36",Intrastate,State,na
T.W. Phillips Bionol Clearfield Pipeline Proj,T.W. Phillips Pipeline Corp,New Pipeline,Completed,1/8/10,2010,PA,Northeast, 7 , 8 , 11 ,6,Interstate,FERC,CP09-3
Enterprise Wilson Storage Link,Wilson Gas Storage Facility,New Pipeline,Completed,6/29/10,2010,TX,Southwest,,62,600, 30 , Intrastate ,State,na
CGT Eastern Market Expansion,Columbia Gas Transmission,Expansion,Completed,10/9/09,2009,VA,Northeast, 142 , 15 , 94 ,"36,26",Interstate,FERC,CP07-367
ET Southern Shale,Energy Transfer Co,New Pipeline,Completed,1/15/09,2009,TX,Southwest, 70 , 31 , 700 ,36,Intrastate,State,na
ET Texas Independence Pipeline,Energy Transfer Partners LP,New Pipeline,Completed,8/31/09,2009,TX,Southwest, 485 , 160 ," 1,100 ",42,Intrastate,State,na
CEGT Long Lake Compressor Station Project,Centerpoint Energy Gas Transmission,Expansion,Completed,6/30/09,2009,LA,Southwest,10,0.5,90,, Interstate ,FERC,CP08-455
Kia Motor Lateral,City of LaGrange,Lateral,Completed,9/1/09,2009,GA,Southeast, 6 , 13 , 14 ,,Intrastate,State,na
WB Grasslands Expansion III,Williston Basin Interstate PL,Expansion,Completed,8/31/09,2009,"MT,ND",Central, 28 ,, 75 ,,Interstate,FERC,CP09-39
Gulf Crossing Pipeline Project,Gulf Crossing Pipeline,New Pipeline,Completed,8/11/09,2009,"OK,LA",Southwest, 121 , 353 ," 1,726 ",42,Interstate,FERC,CP07-398
Algonquin Kleen Energy Lateral,Algonquin Gas Transmission,Lateral,Completed,6/1/09,2009,CT,Northeast, 8 , 1 , 131 ,20,Interstate,FERC,CP08-462
Midcontinent Express Pipeline,Midcontinent Express Pipeline,New Pipeline,Completed,4/10/09,2009,"OK,TX,LA,MS,AL","Southwest,Southeast",1832,507.3,1533," 42,36 ", Interstate ,FERC,CP08-6
CEGT Searcy Ph 2,Centerpoint Energy Gas Transmission,Lateral,Completed,5/25/09,2009,AR,Southwest, 10 ,, 250 ,,Interstate,FERC,CP09-175
Kinder Morgan Louisiana Pipeline,Kinder Morgan Louisiana PL Co,New Pipeline,Completed,6/21/09,2009,LA,Southwest,1000,132,2130," 42,24 ", Interstate ,FERC,CP06-449
KM REX/NGPL Joint Project Phase 2,Kinder Morgan Energy Partners,New Pipeline,Completed,11/11/09,2009,"IA,IL","Central,Midwest",1200,240,1000, 42 , Interstate ,FERC,na
WIG Douglas Expansion Project,Wyoming Interstate Gas Co,Expansion,Completed,6/30/09,2009,"WY,CO",Central,0.25,,55,, Interstate ,FERC,CP08-468
Guardian Pipeline Expansion and Extension Project,Guardian Pipeline Co,Expansion,Completed,2/25/09,2009,WI,Midwest, 350 , 119 , 537 ,"30,20",Interstate,FERC,CP07-8
CGT 2008 Appalachian Expansion,Columbia Gas Transmission,Expansion,Completed,7/1/09,2009,WV,Northeast, 40 ,, 100 ,,Interstate,FERC,CP08-85
Questar Greasewood Station,Questar Pipeline,Expansion,Completed,2/12/09,2009,"UT,CO",Central, 21 ,, 123 ,,Interstate,FERC,CP08-405
Vector Athens (ACS) Expansion,Vector Pipeline,Expansion,Completed,10/19/09,2009,"IL,IN,MI,ON","Midwest,Canada",36.2,,105,, Interstate ,FERC,CP08-29
NWPL Colorado Hub Connection Project (CHC),Northwest Pipeline Co,Expansion,Completed,11/10/09,2009,CO,Central, 60 , 27 , 582 ,24,Interstate,FERC,CP08-477
KM Nebraska Ethanol Expansion Project,Kinder Morgan Energy Partners,Lateral,Completed,1/24/09,2009,NE,Central,23.9,24.5,21.8," 16,12 ", Interstate ,FERC,CP08-44
Greyhawk North Lateral Phase I,Wycoff Gas Storage Co,Lateral,Completed,8/10/09,2009,NY,Northeast, 5 , 4 , 400 ,16,Interstate,FERC,CP03-33
KM REX-East Leg 2,Rockies Express Pipeline,New Pipeline,Completed,11/12/09,2009,OH,Northeast," 1,162 ", 195 ," 1,800 ",42,Interstate,FERC,CP07-208
MichCon Sumpter Extension Pipeline Project,Michigan Consolidated PL Co,Expansion,Completed,8/2/09,2009,MI,Midwest, 61 , 15 , 214 ,24,Intrastate,State,MSPC U-15346
KM REX-East Leg 1,Rockies Express Pipeline,New Pipeline,Completed,6/29/09,2009,"MO,IN,OH","Central,Midwest"," 2,150 ", 444 ," 1,600 ",42,Interstate,FERC,CP07-208
KM REX/NGPL Phase 1,Kinder Morgan Energy Partners,New Pipeline,Completed,11/11/09,2009,"WY,KS,IA",Central,875,175,1000, 42 , Interstate ,FERC,na
Iroquois 08/09 Expansion Phase 2,Iroquois Pipeline Co,Expansion,Completed,1/14/09,2009,CT,Northeast,41.7,,80,, Interstate ,FERC,CP07-457
Bayou Choctaw Storage Headers,PetroLogistics Natural Gas Storage,Lateral,Completed,6/29/09,2009,LA,Southwest,15,13.1,300," 24,16 ", Interstate ,FERC,CP07-428
Dominion Quantico Compression Expansion,Dominion Transmission,Expansion,Completed,11/1/09,2009,VA,Northeast, 21 ,, 180 ,,Interstate,FERC,CP07-31
Curryville Compression Expansion Project,MoGas Energy LLC,Expansion,Completed,3/20/09,2009,MO,Central,16.1,,,, Interstate ,FERC,CP07-450
Dominion Utica 7 Project,Dominion Transmission,Expansion,Completed,11/1/09,2009,NY,Northeast, 6 ,, 15 ,,Interstate,FERC,CP08-45
