Number,Name,Expiration,Issued,Status,Capacity,Company,Waterway,State
5765,MADERA CANAL                       ,8/31/33,9/8/83,Active,440,MADERA-CHOWCHILLA POWER AUTH   (CA),USBR MADERA IRRIGATION CANAL       ,CA
3603,RUEDI                              ,8/31/33,9/8/83,Active,5052,CITY OF ASPEN       (CO)           ,RUEDI DAM                          ,CO
2975,SAND BAR                           ,8/31/33,9/8/83,Active,16200,TRI-DAM POWER AUTHORITY        (CA),STANISLAUS R MIDDLE FORK           ,CA
5089,FELT                               ,8/31/23,9/9/83,Active,7450,FALL RIVER RURAL ELEC COOP INC (ID),TETON RIVER                        ,ID
3509,LITTLE FALLS                       ,8/31/23,9/19/83,Active,13600,LITTLE FALLS HYDROELEC ASSOC   (NY),NY STATE BARGE CANAL               ,NY
4129,RIO BRAVO                          ,8/31/33,9/20/83,Active,14000,OLCESE WATER DISTRICT          (CA),KERN RIVER                         ,CA
6115,PYRITES                            ,8/31/23,9/23/83,Active,8200,"PYRITES HYDRO, LLC                 ",GRASS RIVER                        ,NY
77,POTTER VALLEY                      ,4/14/22,10/4/83,Active,9959,PACIFIC GAS AND ELECTRIC CO      (C,EEL RIVER                          ,CA
3174,VALLECITO                          ,9/30/33,10/5/83,Active,5844,PTARMIGAN RESOURCES&ENERGY INC (CO),LOS PINOS RIVER                    ,CO
5867,ALICE FALLS                        ,9/30/23,10/5/83,Active,1942,"ALICE FALLS HYDRO, LLC             ",AUSABLE RIVER                      ,NY
3043,LOCK AND DAM NUMBER 13             ,9/30/33,10/18/83,Active,33200,ARKANSAS ELECTRIC COOP CORP    (AR),ARKANSAS RIVER                     ,AR
4639,CHRISTINE FALLS                    ,9/30/23,10/18/83,Active,850,AMPERSAND CHRISTINE FALLS HYDRO LLC,SACANDAGA RIVER                    ,NY
6951,TALLASSEE SHOALS                   ,9/30/23,10/24/83,Active,1900,FALL LINE HYDRO COMPANY INC.   (GA),MIDDLE OCONEE RIVER                ,GA
4202,LOWELL TANNERY                     ,9/30/23,10/31/83,Active,1000,KEI (MAINE) POWER MGMT (II) LLC    ,PASSADUMKEAG R                     ,ME
2952,GEM STATE                          ,11/30/33,12/12/83,Active,22600,IDAHO FALLS CITY OF            (ID),SNAKE RIVER                        ,ID
4881,BARBER DAM                         ,11/30/23,12/23/83,Active,3700,ADA COUNTY                     (ID),SNAKE RIVER                        ,ID
6916,STRONTIA SPRINGS                   ,12/31/23,1/13/84,Active,1087,DENVER CITY & COUNTY OF        (CO),SOUTH PLATTE RIVER                 ,CO
5073,BENTON FALLS                       ,2/28/34,3/8/84,Active,4330,BENTON FALLS ASSOCIATES        (NY),SEBASTICOOK                        ,ME
4597,PINE VIEW                          ,2/28/34,3/16/84,Active,1800,BOUNTIFUL CITY CITY OF         (UT),OGDEN RIVER                        ,UT
4117,COLEBROOK                          ,2/28/34,3/27/84,Active,3000,METROPOLITAN DIST OF HARTFORD  (CT),WEST BRANCH FARMINGTON RIVER       ,CT
3940,LEWISVILLE DAM                     ,2/28/34,3/27/84,Active,2700,"CITY OF GARLAND, TX                ",ELM FORK OF THE TRINITY RIVER      ,TX
2959,TOLT RIVER - SOUTH FORK            ,7/19/29,3/29/84,Active,16700,SEATTLE CITY OF                (WA),SOUTH FORK TOLT RIVER              ,WA
7189,GREEN LAKE                         ,3/31/24,4/5/84,Active,500,GREEN LAKE WATER POWER CO      (ME),REEDS BROOK                        ,ME
2853,BROADWATER                         ,7/1/24,4/23/84,Active,9660,MONTANA DEPT-NATURAL RESOURCES (MT),MISSOURI RIVER                     ,MT
3025,KELLEY'S FALLS                     ,3/31/24,4/24/84,Active,450,"KELLEY'S FALLS, LLC                ",PISCATAQUOG RIVER                  ,NH
4354,OWYHEE DAM                         ,4/30/34,5/9/84,Active,4930,GEM IRRIGATION DISTRICT        (ID),OWYHEE RIVER                       ,OR
7153,VICTORY MILLS                      ,4/30/24,5/15/84,Active,1656,"CONSOLIDATED HYDRO NEW YORK, LLC   ",FISH CREEK                         ,NY
2547,HIGHGATE FALLS                     ,4/30/24,5/24/84,Active,11510,SWANTON VILLAGE OF             (VT),MISSISQUOI R                       ,VT
516,SALUDA                             ,8/31/10,6/1/84,Expired,207300,SOUTH CAROLINA ELECTRIC&GAS CO (SC),SALUDA RIVER                       ,SC
3206,NEW MARTINSVILLE                   ,5/31/34,6/4/84,Active,35720,"NEW MARTINSVILLE, CITY OF (WV)     ",OHIO RIVER                         ,WV
2600,WEST ENFIELD                       ,5/31/24,6/26/84,Active,13000,BANGOR-PACIFIC HYDRO ASSOCIATE (ME),PENOBSCOT RIVER                    ,ME
4679,VISCHER FERRY                      ,5/31/24,6/26/84,Active,11800,NEW YORK POWER AUTHORITY           ,MOHAWK RIVER                       ,NY
4678,CRESCENT                           ,5/31/24,6/26/84,Active,11800,NEW YORK POWER AUTHORITY           ,MOHAWK RIVER                       ,NY
7161,GALESVILLE                         ,5/31/34,6/29/84,Active,1660,DOUGLAS COUNTY                 (OR),COW CREEK                          ,OR
7337,COWICHE                            ,6/30/34,7/6/84,Active,1470,YAKIMA-TIETON IRRIGATION DIST  (WA),USBR IRRIGATION SYSTEM             ,WA
7338,ORCHARD AVENUE                     ,6/30/34,7/6/84,Active,1441,YAKIMA-TIETON IRRIGATION DIST  (WA),USBR IRRIGATION SYSTEM             ,WA
7252,HIGH LINE CANAL                    ,6/30/34,7/17/84,Active,530,SANTA CLARA CITY OF            (CA),HIGH LINE CANAL                    ,CA
3494,ALLEGHENY LOCK & DAM NO 6          ,6/30/34,7/19/84,Active,8560,"ALL DAMS GENERATION, LLC           ",ALLEGHENY RIVER                    ,PA
2491,JIM FALLS                          ,9/30/33,7/24/84,Active,49200,NORTHERN STATES POWER CO       (WI),CHIPPEWA RIVER                     ,WI
4472,SARANAC                            ,6/30/24,7/27/84,Active,4865,"ERIE BOULEVARD HYDROPOWER, L.P.    ",SARANAC RIVER                      ,NY
7009,FRIANT T. L.                       ,8/31/32,8/2/84,Active,0,PACIFIC GAS AND ELECTRIC CO      (C,,CA
7410,PETERBOROUGH                       ,7/31/34,8/15/84,Active,623,AMERICAN HYDRO INC             (PA),NUBANUSIT BROOK                    ,NH
3451,TOWNSEND                           ,7/31/24,8/17/84,Active,5000,BEAVER FALLS MUNICIPAL AUTH    (PA),BEAVER RIVER                       ,PA
5679,M.S.C.                             ,7/31/24,8/30/84,Active,520,"ENERGY STREAM, LLC.                ",QUINEBAUG RIVER                    ,CT
6398,HACKETT MILLS                      ,8/31/24,9/12/84,Active,485,HACKETT MILLS HYDRO ASSOCIATES (MD),LITTLE ANDROSCOGGIN RIVER          ,ME
5000,KAYUTA LAKE                        ,8/31/24,9/12/84,Active,400,"AMPERSAND KAYUTA LAKE HYDRO, LLC   ",BLACK RIVER                        ,NY
3633,BRIGHTON                           ,8/31/24,9/21/84,Active,400,"KC BRIGHTON, LLC                   ",PATUXENT RIVER                     ,MD
4285,LOGAN NO. 2                        ,8/31/34,9/21/84,Active,7720,LOGAN CITY OF                  (UT),LOGAN RIVER                        ,UT
7214,SPRING CREEK                       ,8/31/34,9/28/84,Active,1,SMITH LANE                         ,WHITE SALMON RIVER                 ,WA
3671,ALLEGHENY L & D NO 5               ,9/30/34,10/15/84,Active,9500,"ALL DAMS GENERATION, LLC           ",ALLEGHENY RIVER                    ,PA
7186,SHELDON SPRINGS                    ,9/30/24,11/2/84,Active,24965,"MISSISQUOI, LLC                    ",MISSISQUOI RIVER                   ,VT
3083,KAW                                ,10/31/34,11/27/84,Active,31433,OKLAHOMA MUNICIPAL POWER AUTH  (OK),ARKANSAS RIVER                     ,OK
4108,ST CLOUD                           ,11/30/24,12/5/84,Active,8860,ST CLOUD CITY OF               (MN),MISSISSIPPI RIVER                  ,MN
3240,ROLFE CANAL                        ,11/30/24,12/5/84,Active,4283,BRIAR-HYDRO ASSOCIATES         (MA),CONTOOCOOK RIVER                   ,NH
6689,PENACOOK UPPER FALLS               ,11/30/24,12/5/84,Active,3020,BRIAR-HYDRO ASSOCIATES         (MA),CONTOOCOOK RIVER                   ,NH
3755,ECHO                               ,11/30/34,12/7/84,Active,4500,BOUNTIFUL CITY CITY OF         (UT),WEBER RIVER                        ,UT
5357,MITCHELL BUTTE LATERAL             ,11/30/34,12/14/84,Active,1880,OWYHEE IRRIGATION DISTRICT     (OR),OWYHEE RESERVOIR                   ,OR
3351,WARM SPRINGS                       ,11/30/34,12/18/84,Active,2790,SONOMA COUNTY WATER AGENCY     (CA),RUSSIAN RIVER                      ,CA
7373,MARTINSVILLE                       ,11/30/34,12/28/84,Active,250,BOERI JOHN L 'JAY' JR              ,LULL BROOK                         ,VT
7282,ROARING CREEK                      ,11/30/34,12/28/84,Active,2000,MEGA RENEWABLES                (CA),ROARING CREEK                      ,CA
7961,PETTYBORO BROOK                    ,12/31/34,1/11/85,Active,58,ROBERT MCHUGH/ELLYSON CO INC   (MA),PETTYBORO BROOK                    ,NH
2744,MENOMINEE & PARK MILL              ,2/28/15,3/11/85,Expired,4615,"N.E.W. HYDRO, LLC.                 ",MENOMINEE RIVER                    ,WI
8315,SARTELL DAM                        ,2/28/25,3/13/85,Active,9500,"EAGLE CREEK SARTELL HYDRO, LLC     ",MISSISSIPPI RIVER                  ,MN
3939,RAY ROBERTS DAM                    ,2/28/35,3/20/85,Active,1200,DENTON CITY OF                 (TX),ELM FORK TRINITY RIVER             ,TX
3021,ALLEGHENY RIVER LOCKS/DAMS NOS 8&9 ,2/28/35,3/27/85,Active,30400,"ALLEGHENY HYDRO, LLC               ",ALLEGHENY RIVER                    ,PA
4026,AZISCOHOS                          ,3/31/25,4/17/85,Active,5311,ANDROSCOGGIN RESERVOIR CO      (ME),MAGALLOWAY RIVER                   ,ME
2593,BEAVER FALLS                       ,12/31/17,4/19/85,Active,1500,"ALGONQUIN POWER, LLC.              ",BEAVER RIVER                       ,NY
7563,WEEKS FALLS                        ,3/31/35,4/25/85,Active,4772,SOUTH FORK II ASSOCIATES       (WA),SOUTH FORK SNOQUALMIE RIVER        ,WA
4885,TWIN FALLS                         ,4/30/35,5/6/85,Active,24000,TWIN FALLS HYDRO ASSOCIATES LP (CT),SOUTH FORK SNOQUALMIE RIVER        ,WA
5931,HATCHET CREEK                      ,4/30/35,5/9/85,Active,6890,MEGA RENEWABLES                (CA),HATCHET CREEK                      ,CA
8278,CEDAR DRAW CREEK                   ,4/30/35,5/24/85,Active,2878,CRYSTAL SPRINGS HYDROELECTRIC LP   ,CEDAR DRAW CREEK                   ,ID
8357,PONDEROSA/BAILEY                   ,5/31/35,6/14/85,Active,1100,SNOW MOUNTAIN HYDRO LLC            ,BAILEY CREEK                       ,CA
6154,MILL AND SULPHUR CREEKS            ,5/31/35,6/28/85,Active,995,MILL & SULFUR CREEK POWER PLT  (WA),SULPHUR CREEK                      ,CA
5,S_li_ Ksanka Qisp_                ,9/4/35,7/17/85,Active,188250,CONF SALISH & KOOTENAI TRIBES  (MT),FLATHEAD RIVER                     ,MT
7242,KANAKA                             ,7/31/35,8/15/85,Active,1200,STS HYDROPOWER LTD             (IL),SUCKER RUN CR                      ,CA
3623,YOUGHIOGHENY LAKE                  ,7/31/35,8/23/85,Active,12200,YOUGHIOGHENY HYDROELEC AUTH    (PA),YOUGHIOGHENY RIVER                 ,PA
1940,TOMAHAWK                           ,4/1/18,8/26/85,Active,2600,WISCONSIN PUBLIC SERVICE CORP  (WI),WISCONSIN RIVER                    ,WI
7274,LAKE ALGONQUIN                     ,7/31/25,8/28/85,Active,663,WELLS TOWN OF                  (NY),SACANDAGA RIVER                    ,NY
7178,ARBUCKLE MT                        ,8/31/35,9/20/85,Active,400,"ARBUCKLE MOUNTAIN HYDRO, LLC.      ",MIDDLE FORK COTTONWOOD CREEK       ,CA
6461,MORSE CREEK                        ,8/31/35,9/20/85,Active,500,PORT ANGELES CITY OF           (WA),MORSE CREEK                        ,WA
7883,WESTON                             ,9/30/25,10/15/85,Active,474,POWER HOUSE SYSTEMS INC        (NH),UPPER AMMONOOSUC RIVER             ,NH
4720,NAVAJO                             ,9/30/35,10/15/85,Active,30000,FARMINGTON CITY OF             (NM),SAN JUAN RIVER                     ,NM
8047,WILLIMANTIC #2                     ,9/30/25,10/17/85,Active,770,WILLIMANTIC POWER CORP         (VT),WILLIMANTIC RIVER                  ,CT
7518,HOGANSBURG                         ,9/30/15,10/25/85,Expired,485,"ERIE BOULEVARD HYDROPOWER, L.P.    ",ST. REGIS RIVER                    ,NY
5226,EL VADO                            ,9/30/35,10/31/85,Active,8000,LOS ALAMOS COUNTY              (NM),RIO CHAMA                          ,NM
4660,WHITE RIVER L & D NO 2             ,10/31/35,11/8/85,Active,6307,INDEPENDENCE COUNTY OF         (AR),WHITE RIVER                        ,AR
8498,L & M ANGUS RANCH                  ,10/31/35,11/21/85,Active,860,"SHILOH WARM SPRINGS RANCH, LLC.    ",WARM SPRINGS CREEK                 ,ID
8615,FISKE MILL                         ,11/30/25,12/4/85,Active,810,FISKE HYDRO INC                (NY),ASHUELOT RIVER                     ,NH
8051,WILLIMANTIC #1                     ,11/30/25,12/10/85,Active,770,WILLIMANTIC POWER CORP         (VT),WILLIMANTIC RIVER                  ,CT
7804,NORTH WILLOW CREEK                 ,11/30/35,12/13/85,Active,400,OHS GERALD & GLENDA                ,NORTH WILLOW CREEK                 ,MT
6552,NORTH FORK SPRAGUE RIVER           ,11/30/35,12/20/85,Active,1230,"SPRAGUE HYDRO, LLC                 ",NORTH FORK SPRAGUE RIVER           ,OR
3428,WORUMBO                            ,11/30/25,12/24/85,Active,19100,"BROWN BEAR II HDYRO, INC.          ",ANDROSCOGGIN RIVER                 ,ME
7828,NEW LAHONTAN                       ,11/30/35,12/26/85,Active,4000,TRUCKEE-CARSON IRRIGATION DIST (NV),CARSON RIVER                       ,NV
8660,LITTLE GOLD                        ,11/30/35,12/31/85,Active,450,BOULDER HYDRO                  (MT),LITTLE GOLD CREEK                  ,MT
8221,BRADLEY LAKE                       ,11/30/35,12/31/85,Active,119700,ALASKA ENERGY AUTHORITY        (AK),BRADLEY RIVER                      ,AK
8396,COLUMBIA DAM                       ,12/31/25,1/15/86,Active,530,GREAT BEAR HYDROPOWER INC      (CA),PAULINS KILL                       ,NJ
7986,FORD                               ,12/31/35,1/17/86,Active,1497,FORD HYDRO LTD PARTNERSHIP     (ID),JIM FORD CREEK                     ,ID
5698,CHATEAUGAY HIGH FALLS              ,12/31/25,1/22/86,Active,1706,TRITON POWER CO                (NY),HIGH FALLS DAM                     ,NY
8936,POWER CANAL                        ,4/14/22,1/23/86,Active,400,BES HYDRO CO                   (CA),TAILRACE CANAL OF PROJECT 77       ,CA
4659,WHITE RIVER LOCK & DAM NO. 3       ,1/31/36,2/28/86,Active,10500,INDEPENDENCE COUNTY OF         (AR),WHITE RIVER                        ,AR
4204,WHITE RIVER LOCK & DAM NO. 1       ,1/31/36,2/28/86,Active,6029,BATESVILLE CITY OF             (AR),WHITE RIVER                        ,AR
6904,UPPER GREENWICH                    ,1/31/26,2/28/86,Active,574,BATTEN KILL HYDRO ASSOCIATES   (MD),BATTEN KILL                        ,NY
4359,OWYHEE TUNNEL NO. 1                ,1/31/36,2/28/86,Active,8120,GEM IRRIGATION DISTRICT        (ID),SNAKE RIVER                        ,OR
8865,STEVENSON NO. 1                    ,6/30/24,3/18/86,Active,115,STANLEY N. STANDAL JR. & LORETTA M.,UNNAMED TRIBUTARY OF SNAKE RIVER   ,ID
8866,STEVENSON NO. 2                    ,2/29/24,3/18/86,Active,85,"BLACK CANYON BLISS, LLC.           ",UNNAMED TRIBUTARY OF SNAKE RIVER   ,ID
6066,DERBY                              ,2/28/26,3/25/86,Active,8500,MCCALLUM ENTERPRISES I&SHELTON (CT),HOUSATONIC RIVER                   ,CT
8093,METHUEN FALLS                      ,2/28/26,3/27/86,Active,357,METHUEN FALLS HYDROELECTRIC CO (MA),SPICKETT RIVER                     ,MA
4113,PHOENIX                            ,2/28/26,3/28/86,Active,3380,OSWEGO HYDRO PARTNERS L P      (NY),OSWEGO RIVER                       ,NY
2715,COMBINED LOCKS                     ,7/29/24,3/31/86,Active,6200,KAUKAUNA CITY OF               (WI),FOX RIVER                          ,WI
7396,ABIQUIU                            ,3/31/36,4/16/86,Active,16800,LOS ALAMOS COUNTY              (NM),RIO CHAMA                          ,NM
9044,BIGG'S CREEK                       ,3/31/36,4/29/86,Active,15,PICKERING FREDERIC EARL        (WA),BIGG'S CREEK                       ,WA
4349,MOOSE RIVER                        ,4/30/26,5/6/86,Active,12200,FORTISUS ENERGY CORP               ,MOOSE RIVER                        ,NY
2548,LYONS FALLS                        ,5/31/26,5/6/86,Active,14250,"NORTHBROOK LYONS FALLS, LLC.       ",MOOSE RIVER                        ,NY
4627,BAKER CREEK                        ,4/30/36,5/8/86,Active,1495,BAKER STATION ASSOCIATES L.P.  (WA),BAKER CREEK                        ,CA
6903,MIDDLE GREENWICH                   ,4/30/26,5/9/86,Active,300,BATTEN KILL HYDRO ASSOCIATES   (MD),BATTON KILL                        ,NY
7194,BIRCH                              ,4/30/36,5/21/86,Active,2650,BIRCH POWER COMPANY                ,BIRCH CREEK                        ,ID
6972,HOLLOW DAM                         ,4/30/26,5/30/86,Active,1060,"AMPERSAND HOLLOW DAM HYDRO, LLC.   ",WEST BRANCH OSWEGATCHIE RIVER      ,NY
8492,MCGEE CREEK DAM                    ,5/31/36,6/23/86,Active,85,MC GEE CREEK AUTHORITY         (OK),MCGEE CREEK                        ,OK
7656,BUTTERMILK FALLS                   ,6/30/26,6/24/86,Active,79,DODSON JOHN A                  (NY),BUTTERMILK FALLS BROOK             ,NY
2833,COWLITZ FALLS                      ,5/31/36,6/30/86,Active,70200,PUD NO 1 OF LEWIS COUNTY       (WA),COWLITZ RIVER                      ,WA
8646,MINK CREEK                         ,5/31/36,6/30/86,Active,3075,"MINK CREEK HYDRO, LLC              ",MINK CREEK                         ,ID
7887,MINNEWAWA                          ,6/30/26,7/14/86,Active,1000,"ASHUELOT RIVER HYDRO, INC.         ",MINNEWAWA BROOK                    ,NH
9650,GILMAN DAM                         ,6/30/26,7/18/86,Active,125,FACTORY FALLS INC.   (VT)          ,BLACK RIVER                        ,VT
7888,COMTU FALLS                        ,6/30/26,7/18/86,Active,460,COMTU FALLS ASSOCIATES         (VT),BLACK RIVER                        ,VT
9648,FELLOWS DAM                        ,6/30/26,7/18/86,Active,150,"ONE HUNDRED RIVER STREET, LLC.     ",BLACK RIVER                        ,VT
8546,PINE CREEK                         ,6/30/36,7/25/86,Active,373,ALLEN RAE CARTER                   ,PINE CREEK                         ,MT
9649,LOVEJOY DAM                        ,6/30/26,7/29/86,Active,150,LOVEJOY TOOL CO INC            (VT),BLACK RIVER                        ,VT
5376,HORSESHOE BEND                     ,6/30/36,7/30/86,Active,7850,HORSESHOE BEND HYDROELEC CO    (ID),PAYETTE RIVER                      ,ID
9028,HALIFAX                            ,7/31/26,8/27/86,Active,1785,BANISTER HYDRO INC             (MD),BANISTER RIVER                     ,VA
308,WALLOWA FALLS                      ,2/28/16,8/28/86,Active,1100,PACIFICORP                     (OR),ROYAL PURPLE CREEK                 ,OR
7931,29 MILE CREEK                      ,7/31/36,8/28/86,Active,30,EUGENE MARK SOUZA                  ,UNNAMED TRIBUTARY OF               ,CA
3947,TERMINUS                           ,7/31/36,8/29/86,Active,17000,KAWEAH RIVER POWER AUTHORITY   (CA),TERMINUS DAM (CORPS)               ,CA
6015,ROCK CREEK NO. 2                   ,7/31/36,8/29/86,Active,1900,ROCK CREEK HYDROPOWER INC      (ID),SNAKE RIVER                        ,ID
2428,PIEDMONT                           ,12/31/17,9/9/86,Active,1000,"AQUENERGY SYSTEMS, LLC             ",SALUDA RIVER                       ,SC
9842,WARD MILL DAM                      ,8/31/16,9/9/86,Active,168,WARD RAY F                         ,WATAUGA RIVER                      ,NC
7120,KEKAWAKA CREEK                     ,8/31/36,9/10/86,Active,4950,STS HYDROPOWER LTD             (IL),KEKAWAKA CREEK                     ,CA
9088,LOWER VILLAGE                      ,8/31/26,9/10/86,Active,1350,LOWER VILLAGE HYDRO. ASSOC. LP (ME),SUGAR RIVER                        ,NH
9195,TESLA                              ,8/31/36,9/17/86,Active,26850,COLORADO SPRINGS CITY OF       (CO),WEST MONUMENT CREEK                ,CO
2302,LEWISTON FALLS                     ,8/31/26,9/29/86,Active,36354,"BROOKFIELD WHITE PINE HYDRO, LLC.  ",ANDROSCOGGIN RIVER                 ,ME
7352,KINGS FALLS                        ,8/31/36,9/30/86,Active,1636,"TUGHILL ENERGY, INC.               ",DEER RIVER                         ,NY
2611,HYDRO-KENNEBEC                     ,9/30/36,10/15/86,Active,15433,HYDRO KEENEBEC LLC                 ,KENNEBEC RIVER                     ,ME
8296,MUCK VALLEY                        ,11/30/36,12/2/86,Active,29900,JUNIPER RIDGE RANCHES INC      (CA),PIT RIVER                          ,CA
3865,CANYON DAM                         ,11/30/36,12/4/86,Active,6070,GUADALUPE BLANCO RIVER AUTH    (TX),GUADALUPE RIVER                    ,TX
6281,FIVE BEARS                         ,11/30/36,12/23/86,Active,935,FIVE BEARS HYDRO INC           (CA),WARD CREEK                         ,CA
7447,PORTNEUF                           ,11/30/36,12/29/86,Active,900,COMMERCIAL ENERGY MANAGE'T INC (ID),PORTNEUF RIVER                     ,ID
6896,FORKS OF BUTTE                     ,11/30/36,12/30/86,Active,14500,"HYPOWER, INC.                      ",BUTTE CREEK                        ,CA
4644,DAHOWA                             ,11/30/26,12/30/86,Active,10500,STEVENS & THOMPSON PAPER CO    (NY),BATTEN KILL RIVER                  ,NY
3407,MAGIC DAM                          ,12/31/26,1/15/87,Active,9000,MAGIC RESERVOIR HYDROELEC INC  (ID),BIG WOOD RIVER                     ,ID
9074,WARRENSBURG                        ,12/31/26,1/30/87,Active,2900,WARRENSBURG HYDRO PWR LTD PART (NY),SCHROON RIVER                      ,NY
9029,GRASSHOPPER FLAT                   ,2/28/37,3/11/87,Active,1100,NELSON CREEK POWER INC         (CA),NELSON CREEK-EAST AND WEST FORKS   ,CA
5062,QUINEBAUG-FIVE MILE POND           ,2/28/27,3/19/87,Active,2181,QUINEBAUG PARTNERSHIP          (CT),QUINEBAUG RIVER                    ,CT
8405,GLEN                               ,2/28/27,3/19/87,Active,1485,MASCOMA HYDRO                  (NJ),MASCOMA RIVER                      ,NH
4900,FORESTPORT                         ,2/28/27,3/20/87,Active,3300,TRAFALGAR POWER INC            (NH),BLACK RIVER                        ,NY
9202,STAGECOACH                         ,2/28/37,3/31/87,Active,800,UPPER YAMPA WATER CONSERV DIST (CO),YAMPA RIVER                        ,CO
8361,OLSEN                              ,3/31/37,4/7/87,Active,5000,OLSEN POWER PARTNERS           (MD),SACRAMENTO RIVER                   ,CA
8436,SMITH CREEK                        ,3/31/37,4/10/87,Active,24939,EUGENE WATER & ELECTRIC BOARD      ,SMITH CREEK                        ,ID
3239,KOMA KULSHAN                       ,3/31/37,4/13/87,Active,12000,KOMA KULSHAN ASSOCIATES        (WA),SULPHUR CREEK                      ,WA
9709,HERKIMER                           ,3/31/27,4/22/87,Active,1680,"ECOSPONSIBLE, LLC                  ",WEST CANADA CREEK                  ,NY
9985,MILL POND                          ,3/31/27,4/23/87,Active,1000,RIVERS ELECTRIC COMPANY OF NY      ,CATSKILL CR                        ,NY
9685,CRANBERRY LAKE                     ,3/31/27,4/27/87,Active,595,"AMPERSAND CRANBERRY LAKE HYDRO, LLC",OSWEGATCHIE RIVER                  ,NY
9951,FRENCH LANDING                     ,4/30/27,5/5/87,Active,1650,STS HYDROPOWER LTD             (IL),HURON RIVER                        ,MI
4684,STILLWATER                         ,4/30/27,5/20/87,Active,3500,"GR CATALYST ONE, LLC               ",STILLWATER AND LOCK NO. 4 DAMS     ,NY
8909,DIETRICH DROP                      ,4/30/37,5/22/87,Active,4770,CHI-IDAHO INC.(ID)                 ,MILNER GOODING CANAL               ,ID
5130,LOST CREEK NO 2                    ,4/30/37,5/29/87,Active,455,SNOW MOUNTAIN HYDRO LLC            ,LOST CREEK                         ,CA
9100,RIVERDALE MILLS                    ,5/31/17,6/15/87,Active,150,KNOTT JAMES M                      ,BLACKSTONE RIVER                   ,MA
9821,OGDENSBURG                         ,5/31/27,6/15/87,Active,3675,"AMPERSAND OGDENSBURG HYDRO, LLC    ",OSWEGATCHIE RIVER                  ,NY
4114,LOWER SARANAC                      ,5/31/27,6/26/87,Active,9300,"LOWER SARANAC HYDRO PARTNERS, LLC  ",LOWER SARANAC RIVER                ,NY
8914,TAYLOR DRAW                        ,6/30/37,7/6/87,Active,2000,RIO BLANCO WATER CONSERV DIST  (CO),WHITE RIVER                        ,CO
7342,MANTI CANYON LOWER                 ,6/30/37,7/14/87,Active,1200,MANTI CITY OF                  (UT),MANTI CREEK                        ,UT
9399,KINGS RIVER SIPHON                 ,6/30/37,7/29/87,Active,1388,ORANGE COVE IRRIGATION DIST    (CA),FRIANT-KERN CANAL                  ,CA
2381,ASHTON                             ,12/31/27,8/3/87,Active,6850,PACIFICORP                     (OR),HENRY'S FORK SNAKE RIVER           ,ID
14552,ST. ANTHONY                        ,12/31/27,8/3/87,Active,500,ST ANTHONY HYDRO LLC.              ,HENRY'S FORK SNAKE RIVER           ,ID
2457,EASTMAN FALLS                      ,12/31/17,8/25/87,Active,6400,PUBLIC SERVICE CO OF NH        (NH),PEMIGEWASSET RIVER                 ,NH
6842,WYNOOCHEE DAM                      ,8/31/37,9/9/87,Active,11100,ABERDEEN CITY OF               (WA),WYNOOCHEE R                        ,WA
9310,PLEASANT CREEK                     ,8/31/37,9/17/87,Active,1800,MT PLEASANT CITY OF            (UT),PLEASANT CREEK                     ,UT
9654,MICRO HYDRO                        ,8/31/37,9/25/87,Active,23,"SEE, BRENDA WIRKKALA               ",SOUTH FORK NASELLE RIVER           ,WA
8810,SOUTH BEND T. L.                   ,8/31/37,9/29/87,Active,0,PACIFICORP                     (OR),South Bend,OR
3571,CENTRAL OREGON SIPHON              ,8/31/37,9/29/87,Active,5500,CENTRAL OREGON IRRIGATION DIST (OR),DESCHUTES RIVER                    ,OR
7481,NEW YORK STATE DAM                 ,9/30/37,10/13/87,Active,10830,NYSD LTD PARTNERSHIP           (NY),MOHAWK RIVER                       ,NY
6764,SIX MILE CREEK                     ,9/30/37,10/16/87,Active,650,BMB ENTERPRISES INC            (UT),SIXMILE CREEK                      ,UT
9282,PINE VALLEY                        ,9/30/27,10/16/87,Active,525,"PVC COMMERICAL CENTER, LLC.        ",SOUHEGAN RIVER                     ,NH
8369,LAKE FLOWER DAM                    ,9/30/27,10/27/87,Active,165,SARANAC LAKE VILLAGE OF        (NY),SARANAC RIVER                      ,NY
2785,SANFORD                            ,9/30/28,12/1/87,Active,3300,"BOYCE HYDRO POWER, LLC.            ",TITTABAWASSEE                      ,MI
2343,MILLVILLE                          ,12/31/17,12/10/87,Active,2840,"PE HYDRO GENERATION, LLC.          ",SHENANDOAH RIVER                   ,WV
2512,HAWKS NEST & GLEN FERRIS           ,12/31/17,12/11/87,Active,108159,HAWKS NEST HYDRO LLC.              ,NEW RIVER                          ,WV
9886,VALATIE FALLS                      ,11/30/27,12/14/87,Active,364,VALATIE FALLS HYDRO POWER INC  (NY),KINDERHOOK CR                      ,NY
10253,PELZER MILLS LOWER HYDRO           ,11/30/17,12/24/87,Active,3300,"CONSOLIDATED HYDRO SOUTHEAST, LLC  ",SALUDA RIVER                       ,SC
2727,ELLSWORTH GRAHAM                   ,12/31/17,12/28/87,Active,8900,"BLACK BEAR HYDRO PARTNERS, LLC     ",UNION RIVER                        ,ME
10254,PELZER MILLS UPPER HYDRO           ,11/30/17,12/29/87,Active,1950,"CONSOLIDATED HYDRO SOUTHEAST, LLC  ",SALUDA RIVER                       ,SC
